observationStartMJD,band,m5,t_days,fiesta_filter,mag_true,snr_exp,mag_err,snr_obs,detected,mag_obs,mag_ulim
63271.07692849976,i,23.511767233707594,803.2305985318453,lssti,,,,,False,,23.511767233707594
63271.07733232452,i,23.51157928923093,803.2310023566097,lssti,,,,,False,,23.51157928923093
63271.07773526608,i,23.568020178327107,803.2314052981674,lssti,,,,,False,,23.568020178327107
63271.07813579277,i,23.56545302122635,803.2318058248566,lssti,,,,,False,,23.56545302122635
63271.078537050045,i,23.56268025023373,803.2322070821319,lssti,,,,,False,,23.56268025023373
63271.07893955258,i,23.56091166966334,803.2326095846656,lssti,,,,,False,,23.56091166966334
63271.079343393445,i,23.559600496455943,803.2330134255317,lssti,,,,,False,,23.559600496455943
63271.07974891681,i,23.55462802536708,803.2334189488975,lssti,,,,,False,,23.55462802536708
63271.08015396805,i,23.555193422945564,803.2338240001336,lssti,,,,,False,,23.555193422945564
63271.08055657698,i,23.552472881567137,803.2342266090636,lssti,,,,,False,,23.552472881567137
63271.08095767083,i,23.54967942084368,803.2346277029137,lssti,,,,,False,,23.54967942084368
63271.08136149516,i,23.569843681641785,803.2350315272488,lssti,,,,,False,,23.569843681641785
63271.0817643519,i,23.568071113205846,803.2354343839834,lssti,,,,,False,,23.568071113205846
63271.08216487229,i,23.565417244441527,803.2358349043789,lssti,,,,,False,,23.565417244441527
63271.08256611574,i,23.56255047232133,803.2362361478299,lssti,,,,,False,,23.56255047232133
63271.08296853395,i,23.56074060378129,803.2366385660353,lssti,,,,,False,,23.56074060378129
63271.08337228643,i,23.559390737367355,803.2370423185203,lssti,,,,,False,,23.559390737367355
63271.083777797045,i,23.5542240644138,803.2374478291313,lssti,,,,,False,,23.5542240644138
63271.087081876205,r,24.14194513283582,803.2407519082917,lsstr,,,,,False,,24.14194513283582
63271.08748435912,r,24.1323665161597,803.2411543912094,lsstr,,,,,False,,24.1323665161597
63271.08788547732,r,24.129417291086654,803.2415555094049,lsstr,,,,,False,,24.129417291086654
63271.08828930066,r,23.841563938044843,803.2419593327431,lsstr,,,,,False,,23.841563938044843
63271.0886920222,r,23.83977017469692,803.2423620542831,lsstr,,,,,False,,23.83977017469692
63271.08909253109,r,23.836991230053226,803.2427625631753,lsstr,,,,,False,,23.836991230053226
63271.08949076179,r,23.835100526871475,803.2431607938779,lsstr,,,,,False,,23.835100526871475
63271.08989625198,r,23.829540204223544,803.2435662840653,lsstr,,,,,False,,23.829540204223544
63271.09030127966,r,23.83047130034159,803.2439713117492,lsstr,,,,,False,,23.83047130034159
63271.09070370823,r,23.827552521802957,803.2443737403155,lsstr,,,,,False,,23.827552521802957
